Date,Price,Product_name
2019-09-18,"₹25,999",Siemens SN26L201IN/SN256W01GI Free Standing 12 Place Settings Dishwasher
2019-09-19,"₹25,999",Siemens SN26L201IN/SN256W01GI Free Standing 12 Place Settings Dishwasher
2019-09-20,"₹25,999",Siemens SN26L201IN/SN256W01GI Free Standing 12 Place Settings Dishwasher
2019-09-21,"₹25,999",Siemens SN26L201IN/SN256W01GI Free Standing 12 Place Settings Dishwasher
